# source, target, _graphml_edge_id, bridge, crs, geometry, highway, lanes, length, name, oneway, osmid, ref, simplified, streets_per_node
47,189,0,,,"LINESTRING (-85.251856 31.568106, -85.2518 31.569187, -85.25178699999999 31.569536)",residential,,159.14600000000002,Trawick Street,False,7712596,,,
47,160,0,,,"LINESTRING (-85.251856 31.568106, -85.252605 31.568137, -85.25307599999999 31.568149)",residential,,115.687,W College,False,7715593,,,
48,47,0,,,,residential,,13.346,,False,7711295,,,
49,89,0,,,,primary,2,9.855,,False,136667249,AL 10,,
49,76,0,,,"LINESTRING (-85.27813399999999 31.588528, -85.277704 31.588327, -85.276719 31.587876, -85.27657499999999 31.5878)",primary,2,168.428,,False,7712491,AL 10,,
50,173,0,,,,trunk,2,41.532,,True,385169184,US 431,,
50,49,0,,,"LINESTRING (-85.278538 31.588309, -85.278431 31.588387, -85.27832600000001 31.588459, -85.27824699999999 31.588491, -85.27813399999999 31.588528)",primary_link,,45.861,,True,7711339,,,
51,52,0,,,"LINESTRING (-85.245634 31.57218, -85.24582100000001 31.572254, -85.245892 31.572298, -85.245943 31.572361, -85.24595600000001 31.572435, -85.245941 31.572507, -85.24585500000001 31.572715, -85.24584900000001 31.572728, -85.245797 31.57284, -85.24570900000001 31.573018, -85.245484 31.573282, -85.2454 31.573324, -85.2453 31.573328, -85.245233 31.573296)",residential,,176.022,,False,7711365,,,
51,69,0,,,"LINESTRING (-85.245634 31.57218, -85.245417 31.572185, -85.244906 31.572133, -85.244737 31.572105, -85.244406 31.572026, -85.24428899999999 31.572004)",residential,,129.54500000000002,North Armory Street,False,7715220,,,
51,247,0,,,"LINESTRING (-85.245634 31.57218, -85.245626 31.572044, -85.245654 31.571825, -85.245689 31.571436)",residential,,83.02,Armory,False,7715281,,,
52,51,0,,,"LINESTRING (-85.245233 31.573296, -85.2453 31.573328, -85.2454 31.573324, -85.245484 31.573282, -85.24570900000001 31.573018, -85.245797 31.57284, -85.24584900000001 31.572728, -85.24585500000001 31.572715, -85.245941 31.572507, -85.24595600000001 31.572435, -85.245943 31.572361, -85.245892 31.572298, -85.24582100000001 31.572254, -85.245634 31.57218)",residential,,176.022,,False,7711365,,,
53,188,0,,,,residential,,138.221,Trawick Street,False,7712596,,,
53,159,0,,,,residential,,117.284,Trawick Street,False,7712596,,,
